;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_period
111;437556;2020-02-16;0.7820233333333334;0.0;30.0;0.026067444444444445;0.026067444444444445;1;;;0;;
112;437626;2020-02-16;0.07785333333333333;0.0;70.0;0.001112190476190476;0.001112190476190476;1;;;0;;
113;437654;2020-02-16;6.607870000000001;0.0;46.0;0.143649347826087;0.143649347826087;1;;;0;;
114;437661;2020-02-16;0.5941966666666667;0.0;24.0;0.024758194444444447;0.024758194444444447;1;;;0;;
115;437675;2020-02-16;0.5299266666666667;0.0;32.0;0.016560208333333333;0.016560208333333333;1;;;0;;
116;437801;2020-02-16;0.2975333333333333;0.0;15.0;0.019835555555555554;0.019835555555555554;1;;;0;;
117;437822;2020-02-16;0.0;0.0;16.0;0.0;0.0;0;;;0;;
118;440706;2020-02-16;0.15020166666666668;0.0;5.0;0.030040333333333336;0.030040333333333336;1;;;0;;
119;449015;2020-02-16;0.041819999999999996;0.0;2.0;0.020909999999999998;0.020909999999999998;1;;;0;;
120;453915;2020-02-16;0.4024183333333333;0.0;4.0;0.10060458333333333;0.10060458333333333;1;;;0;;
121;464835;2020-02-16;0.0;0.0;5.0;0.0;0.0;0;;;0;;
122;464842;2020-02-16;0.15959666666666664;0.0;3.0;0.05319888888888888;0.05319888888888888;1;;;0;;
123;464856;2020-02-16;0.0;0.0;4.0;0.0;0.0;0;;;0;;
124;506170;2020-02-16;0.49146500000000004;0.0;3.0;0.16382166666666667;0.16382166666666667;1;;;0;;
125;509614;2020-02-16;0.16187666666666667;0.0;2.0;0.08093833333333333;0.08093833333333333;1;;;0;;
126;517783;2020-02-16;0.061016666666666663;0.0;4.0;0.015254166666666666;0.015254166666666666;1;;;0;;
127;517804;2020-02-16;0.4326183333333333;3.0;4.0;-1.411965538896007;0.0;0;;;0;;
128;518133;2020-02-16;0.05504666666666667;0.0;2.0;0.027523333333333334;0.027523333333333334;1;;;0;;
129;518350;2020-02-16;0.167025;0.0;1.0;0.167025;0.167025;1;;;0;;
130;526246;2020-02-16;0.15892833333333334;0.0;4.0;0.039732083333333335;0.039732083333333335;1;;;0;;
131;526372;2020-02-16;0.10337666666666667;0.0;1.0;0.10337666666666667;0.10337666666666667;1;;;0;;
132;528220;2020-02-16;0.9594650000000001;3.0;3.0;-1.462642565136111;0.0;0;;;0;;
133;528255;2020-02-16;0.18749666666666664;0.0;5.0;0.03749933333333333;0.03749933333333333;1;;;0;;
134;530061;2020-02-16;0.4817066666666667;0.0;3.0;0.1605688888888889;0.1605688888888889;1;;;0;;
135;530075;2020-02-16;0.5560016666666666;0.0;3.0;0.18533388888888888;0.18533388888888888;1;;;0;;
136;530082;2020-02-16;0.11795166666666668;0.0;4.0;0.02948791666666667;0.02948791666666667;1;;;0;;
137;530334;2020-02-16;0.071205;0.0;1.0;0.071205;0.071205;1;;;0;;
138;539315;2020-02-16;0.0;0.0;1.0;0.0;0.0;0;;;0;;
139;551432;2020-02-16;0.23722333333333334;0.0;4.0;0.059305833333333335;0.059305833333333335;1;;;0;;
140;556626;2020-02-16;0.5142650000000001;0.0;2.0;0.25713250000000004;0.25713250000000004;1;;;0;;
